step,loss,lr
79400,2.259730,0.00018110
79600,2.266289,0.00018087
79800,2.262712,0.00018065
80000,2.262215,0.00018042
80200,2.260428,0.00018020
80400,2.258584,0.00017997
80600,2.262126,0.00017975
80800,2.254444,0.00017953
81000,2.257374,0.00017930
81200,2.262028,0.00017908
81400,2.258254,0.00017886
81600,2.254097,0.00017864
81800,2.266290,0.00017843
82000,2.247287,0.00017821
82200,2.255916,0.00017799
82400,2.251965,0.00017778
